"income_classification_world_bank_2017","gini_index","national_poverty_lines_jolliffe_and_prydz_2016"
"1",NA,NA
"3",33.17109,3.8
"3",27.61573,NA
"4",NA,NA
"2",51.27211,2.17
"4",NA,NA
"3",NA,NA
"2",29.87821,3.87
"4",34.39943,28.14
"4",30.84879,27.02
"3",26.55491,5.19
"4",NA,NA
"4",NA,NA
"2",32.38527,NA
"4",NA,NA
"3",25.27785,7.59
"4",27.21441,26.85
"3",53.26277,NA
"1",47.75591,1.44
"2",41.64937,7.63
"3",33.03019,9.79
"3",53.32503,1.97
"3",53.42883,3.05
"4",NA,NA
"3",41.2841,7.95
"1",35.30123,1.64
"1",38.62482,1.54
"2",46.64087,2.35
"4",33.30821,23.48
"2",42.38109,NA
"1",56.23661,1.72
"1",43.32121,2.24
"4",44.44094,7.17
"3",NA,1.78
"3",51.33497,5.42
"1",45.33459,3.89
"2",48.93867,2.75
"3",48.18792,7.04
"2",41.4748,2.41
"3",29.72947,9.62
"3",NA,NA
"4",32.73986,NA
"1",42.09971,1.4
"4",28.16634,26.44
"2",41.58799,NA
"3",41.91857,6.66
"3",45.71153,4.68
"2",31.53395,NA
"2",38.77876,5.42
"3",NA,NA
"4",30.32145,11.07
"1",34.99312,1.8
"3",36.6966,4.49
"4",27.32977,26.06
"4",32.38069,24.69
"3",38.02437,3.63
"1",35.91883,2.45
"2",35.94862,1.89
"4",31.87067,26.39
"2",43.52088,2.23
"4",32.89121,12.85
"2",48.27859,5.51
"1",33.7297,2.53
"1",50.66424,2.01
"3",45.11814,NA
"1",41.10377,2.15
"2",48.16817,6.43
"4",29.61204,9.59
"4",26.13158,22.7
"2",NA,1.91
"2",NA,1.85
"3",42.0033,NA
"3",29.54186,NA
"4",31.3598,20.33
"4",39.01302,13.76
"4",35.928,20.72
"3",45.45747,4.07
"4",32.85473,NA
"2",33.65573,NA
"3",27.79287,4.9
"2",40.77577,2.39
"4",NA,NA
"2",29.70122,3.88
"4",35.09615,8.26
"3",31.83245,NA
"2",44.8797,1.76
"1",35.26546,1.75
"3",NA,NA
"4",NA,NA
"4",35.70781,9.16
"4",35.36809,32.39
"1",42.64818,1.62
"1",44.69431,1.27
"3",41.0664,3.38
"3",31.28565,NA
"1",33.03796,1.82
"4",28.66509,NA
"2",32.61935,3.7
"3",36.76121,NA
"3",45.37549,8.02
"2",25.66165,4.86
"4",NA,NA
"3",38.48795,6.06
"2",39.54851,2.55
"1",53.99668,1.45
"2",30.69687,NA
"3",59.06661,2.14
"1",32.84059,2.2
"4",28.12108,26.31
"4",NA,NA
"2",46.15629,4.49
"1",34.27658,1.86
"2",35.12774,1.65
"4",27.55783,35.12
"4",NA,NA
"2",31.60009,2.05
"3",49.83834,6.96
"2",41.85079,1.92
"3",45.65064,6.32
"3",41.5109,5.52
"2",37.81171,2.44
"4",30.23947,8
"4",33.49256,12.81
"4",NA,NA
"3",35.7615,5.24
"3",37.47301,8.3
"1",43.71005,1.46
"4",NA,NA
"2",56.31984,2.73
"4",NA,NA
"1",40.28523,2.21
"3",30.35106,5.42
"1",35.69018,1.91
"4",NA,NA
"4",24.97015,15.69
"4",24.63336,19.37
"1",36.82241,NA
"3",63.02607,5.62
"4",31.40486,NA
"1",44.14413,NA
"4",34.71895,18.63
"2",39.34577,2.6
"2",34.2432,3.5
"3",57.60975,NA
"4",29.97419,29.09
"4",33.14105,31.51
"2",37.5146,NA
"2",33.99572,4.46
"1",40.49123,1.44
"3",34.85572,5.43
"1",43.05614,2.1
"4",40.27296,NA
"2",32.81588,3.97
"3",41.90911,2.82
"1",42.75369,1.46
"2",26.61947,5.94
"4",25.96615,NA
"4",35.14883,21.29
"4",41.40784,21.7
"4",39.67655,6.92
"2",35.2688,NA
"3",44.7705,6.28
"2",35.71555,3.35
"2",36.70709,NA
"2",57.13606,1.83
"1",50.25645,NA
"4",24.99034,12.98
