"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"1","Afghanistan",39.277,0.387426943,2.440526627,2.889616398,NA,NA,NA,6.205535896,30.93721416,34.85095711,0.002042557,0.1187588,0.9977683,17306.81858,1628252.678,4276498.805,10761942,22974552
"2","Albania",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888
"3","Algeria",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069
"4","Andorra",931.858,1.12991063,2.50948,3.591001371,NA,NA,NA,23.01494333,66.25018108,74.20553857,0.3591183,6.163432,9.337595,265312.6509,9006047.975,19082738.58,78014,0
"5","Angola",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904
"6","Antigua and Barbuda",30.635,1.008387702,4.320287496,4.698406729,NA,NA,NA,15.26028991,37.67384477,49.42392635,0.3069299,17.94588,18.58065,1413.650799,1844.693527,3671731.522,87487,8232
"7","Argentina",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040
"8","Armenia",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280
"9","Australia",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0
"10","Austria",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0
"11","Azerbaijan",67.856,0.788297947,1.835305955,2.805918933,65.85613589,153.3254766,234.4126092,9.670721036,22.51525832,34.42259283,0,0,0,0,0,0,8616862,1032479
"12","Bahamas",335.666,0.763473885,3.019520007,2.913016384,NA,NA,NA,10.6897202,21.27220189,33.09991139,0.06272282,0.6071837,1.16534,0,1844.693527,1530500.1,355891,30947
"13","Bahrain",185.709,0.9553951,5.867017476,3.638542468,NA,NA,NA,17.28115243,98.82780761,90.58073281,0.02480398,3.255958,7.340323,233776.3898,2539.745027,747262.7233,1360880,10975
"14","Bangladesh",35.449,0.643520024,1.946392559,3.441523122,53.76107138,162.6058947,287.5123744,14.4642141,43.74850452,77.35412319,0.2078029,37.54431,77.60098,331800.1227,59947222.41,123905944.9,97687737,63513149
"15","Barbados",24.359,0.9553951,2.504804723,3.763333674,NA,NA,NA,7.803701639,27.3928695,41.31834865,0.1970276,10.18864,32.01523,85433.99235,101197.3891,1207074.346,273417,10800
"16","Belarus",102.124,0.799425284,2.174897893,4.061629992,66.78573798,181.6957304,339.3174596,9.50114393,25.8485919,48.27234256,0,0.02752161,1.027703,0,2614.075175,97613.94408,8948708,540908
"17","Belgium",942.309,0.266243314,2.440526627,2.876678049,22.24254917,203.8869363,240.3239807,3.22553798,29.56698225,34.85095711,0.05766727,0.2448614,0.292606,6559.743077,27853.37113,33284.39482,11217825,56371
"18","Belize",128.263,1.12991063,2.803726473,2.913016384,94.39520716,234.2294463,243.3597648,46.05555438,114.2808764,118.7355716,10.76588,36.95931,38.11414,40454.83962,138881.6296,143221.1227,325156,34132
"19","Benin",3.382,0.651227469,2.498297764,3.523153305,54.40496818,208.7132635,294.3319386,31.56592909,121.0960744,170.7722919,19.54813,82.3962,89.63388,2184543.406,9207943.438,10016768.94,2083463,8492489
"20","Bhutan",8.05,1.046312885,2.801838429,4.779471981,87.41126856,234.0717151,399.2875506,17.97673597,48.13847789,82.11626476,0.5288874,22.60959,52.1443,3943.21521,168569.868,388771.2146,396843,390543
"21","Bolivia",742.909,1.467199081,3.338161179,3.758738978,122.5730227,278.8772915,314.0132814,25.7623364,58.6142892,65.99915392,7.438027,21.49098,25.54418,832527.5026,2405454.015,2859122.773,5394527,5330178
"22","Bosnia and Herzegovina",336.502,0.705741816,3.118057545,4.284558679,58.95921603,260.4893521,357.9414101,8.933852302,39.47090133,54.23741878,0,1.285606,3.633199,0,43087.4322,121767.6454,3352091,183870
"23","Botswana",8.93,0.505090038,2.24989419,3.958068766,42.19632731,187.9610853,330.6657282,3.825013115,17.0382984,29.97419035,0.752416,37.10923,60.1921,16591.73589,818306.0213,1327312.851,1400631,808566
"24","Brazil",743.068,0.84750795,2.657711216,2.807738164,70.80266919,222.0310122,234.5645918,19.11810954,59.95272863,63.33704097,2.076389,11.95671,12.98858,4315438.805,24850088.45,26994663.41,170536625,35425483
"25","Brunei",6.857,0.893473526,2.514906339,3.523153305,NA,NA,NA,16.1907157,90.74698992,103.0847364,0.5847719,15.18224,17.93763,0,1247876.042,7489811.684,29410446,1027334
"26","Bulgaria",167.088,0.514931565,2.828763265,4.167510318,43.01850999,236.3210748,348.1629338,7.843800554,43.08971598,63.48245473,0.1288557,5.284159,9.337595,9117.761038,373904.2902,660723.2733,6173072,1004919
"27","Burkina Faso",3.205,0.573611327,2.538903881,3.542036729,47.92074575,212.1055873,295.9095012,36.10796922,159.820176,222.9658782,0.823905,80.15421,89.96324,158134.4265,15384225.16,17266900.15,3567793,14542831
"28","Burundi",0.084,0.707986131,1.58855448,3.439233172,59.14671105,132.7113183,287.321067,80.83522961,181.3752565,392.6788828,42.48668,84.76974,97.167,4600043.04,9178040.095,10520294.41,4895650,5303620
"29","Cambodia",335.666,0.581570659,1.759645705,2.675549201,NA,NA,NA,9.391300947,25.62408513,29.97419035,0,0.5116307,0.7833411,327.837811,1008218.87,689809.5975,6579477,8938158
"30","Cameroon",16.048,0.893473526,2.064990798,3.601684469,74.642734,172.5138512,300.892604,38.52634765,89.04186981,155.303704,11.02579,41.82046,66.43285,2708600.533,10273633.02,16319923.83,10458211,12376311
"31","Canada",264.982,0.678612354,2.130181041,2.976252719,56.69276143,177.9599867,248.6426666,10.6897202,33.55529731,46.88289067,0,0.4973831,0.4973831,0,181760.3028,181760.3028,35776913,71697
"32","Cape Verde",169.068,0.619501806,2.521965051,3.364083781,51.75453686,210.6904804,281.0429223,13.88320642,56.5179327,75.39004581,0.1623494,19.00103,32.42308,872.6231545,102129.9662,174273.0823,384763,148150
"33","Central African Republic",12.837,1.020846914,1.705468567,3.267034795,85.28378563,142.478577,272.9352377,82.33635294,137.5544755,263.5025157,62.8391,81.09219,93.04771,2888102.631,3727019.758,4276498.805,991050,3555050
"34","Chad",5.844,0.708813159,1.761556199,3.216645812,59.21580272,147.1642606,268.7256318,36.5146798,90.74698992,165.7062802,17.41418,57.60084,83.21726,2615047.88,8649787.389,12496547.03,1695139,12314274
"35","Chile",733.723,0.622463862,2.106671037,3.075040316,52.00199348,175.9959095,256.8955987,10.00461942,33.85970377,49.42392635,0.1547775,0.6200612,1.807866,28588.08372,114528.0257,333920.7867,17602817,159864
"36","China",3.293,0.847186882,2.110779841,3.608958352,70.77584646,176.339168,301.5002801,30.79742586,76.73228543,131.1949342,0.07885481,3.222103,17.94347,1093239.143,44671074.89,248767370.9,1048983300,322236700
"37","Colombia",600.693,1.024257877,2.611167317,3.266096458,85.56874495,218.142633,272.856847,23.07791175,58.83312227,73.58955935,2.649699,15.29894,22.39919,1295731.057,7481344.747,10953442.69,39113473,9115224
"38","Comoros",8.05,1.100676758,3.461404191,3.357260846,91.95294552,289.1732824,280.4729195,29.69686059,93.39057717,90.58073281,14.84323,60.93004,60.2145,120807.8615,495904.7212,490080.9983,278318,499106
